"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"91",2016,3,NA,91,"FrRnd",14,"Orioles","Y","Austin Hays (minors)","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Jacksonville University (Jacksonville, FL)","hays--000aus"
"92",2016,3,NA,92,"FrRnd",15,"Indians","Y","Aaron Civale (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Northeastern University (Boston, MA)","civale000aar"
"93",2016,3,NA,93,"FrRnd",16,"Twins","Y","Griffin Jax (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","United States Air Force Academy (Colorado Springs, CO)","jax---000gri"
"94",2016,3,NA,94,"FrRnd",17,"Nationals","Y","Jesus Luzardo (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Stoneman-Douglas HS (Parkland, FL)","luzard000jes"
"95",2016,3,NA,95,"FrRnd",18,"Giants","Y","Heath Quinn (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Samford University (Birmingham, AL)","quinn-000hea"
"96",2016,3,NA,96,"FrRnd",19,"Angels","Y","Nonie Williams (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","willia000non"
"97",2016,3,NA,97,"FrRnd",20,"Astros","Y","Jake Rogers (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Tulane University (New Orleans, LA)","rogers003jak"
"98",2016,3,NA,98,"FrRnd",21,"Yankees","Y","Nolan Martinez (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Culver City HS (Culver City, CA)","martin000nol"
"99",2016,3,NA,99,"FrRnd",22,"Rangers","Y","Kole Enright (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","West Orange HS (Winter Garden, FL)","enrigh000kol"
"100",2016,3,NA,100,"FrRnd",23,"Mets","Y","Blake Tiberi (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","tiberi000bla"
"101",2016,3,NA,101,"FrRnd",24,"Dodgers","Y","Dustin May (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Northwest HS (Justin, TX)","may---000dus"
"102",2016,3,NA,102,"FrRnd",25,"Blue Jays","Y","Zach Jackson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Arkansas (Fayetteville, AR)","jackso002zac"
"103",2016,3,NA,103,"FrRnd",26,"Royals","Y","Khalil Lee (minors)","CF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Flint Hill School (Oakton, VA)","lee---000kha"
"104",2016,3,NA,104,"FrRnd",27,"Cubs","Y","Tom Hatch (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Oklahoma State University (Stillwater, OK)","hatch-000tom"
"105",2016,3,NA,105,"FrRnd",28,"Pirates","Y","Stephen Alemais (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Tulane University (New Orleans, LA)","alemai000ste"
